Experiment,State,test_balanced_accuracy,crossvalidate.features,model.n_estimators,model.max_depth,model.max_features,model.max_leaf_nodes,model.min_samples_leaf,model.min_weight_fraction_leaf,model.class_weight,data/features.pkl,data/features_rank.pkl,data/train_features.pkl
,,0.7988791036255554,200,1000,None,sqrt,,20,0.0,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
,,0.7988791036255554,200,1000,None,sqrt,,20,0.0,,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
roily-wino,Success,0.8035058713672246,200,500,25,sqrt,,2,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
ninth-sinh,Success,0.8007190650895695,200,200,25,sqrt,,2,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
piney-wave,Success,0.8057379257528311,200,500,25,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
every-merk,Success,0.8009476750652593,200,200,25,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fried-taro,Success,0.7937235801881113,200,500,10,sqrt,,2,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
fresh-pant,Success,0.7950562983386458,200,200,10,sqrt,,2,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
gammy-purl,Success,0.7967376735166488,200,500,10,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
randy-seam,Success,0.7960992847399044,200,200,10,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
winey-curn,Success,0.8066685042862642,100,500,25,sqrt,,2,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
score-sera,Success,0.8069390730040092,100,200,25,sqrt,,2,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
tiled-jaws,Success,0.814551588736544,100,500,25,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
caped-acre,Success,0.8075187362626739,100,200,25,sqrt,,1,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
wider-yegg,Success,0.7994042715652085,100,500,10,sqrt,,2,0.0,balanced,770e6ac03abc8b27555137d13db3208c,a6ad43c55063b558cfcc47ad377d8cc0,4a5aabff2a3276454a6d05be013ca50c
